year,country_code,country_name,in_degree,out_degree,total_degree,norm_in_degree,norm_out_degree,norm_total_degree,in_strength,out_strength,total_strength,norm_in_strength,norm_out_strength,norm_total_strength,betweenness_centrality,pagerank_centrality,eigenvector_centrality,global_density,global_nodes,global_edges,global_max_possible_edges,global_edge_coverage_ratio,global_total_weight,global_avg_edge_weight,global_weight_density,global_is_strongly_connected,global_num_strongly_connected_components,global_largest_scc_size,global_largest_scc_ratio,global_is_weakly_connected,global_num_weakly_connected_components,global_largest_wcc_size,global_largest_wcc_ratio,global_avg_path_length,global_median_path_length,global_max_path_length,global_min_path_length,global_avg_weighted_path_length,global_median_weighted_path_length,global_reachability_ratio,global_sampled_pairs,global_reachable_pairs,global_weighted_reachable_pairs,global_global_efficiency,global_weighted_global_efficiency,global_efficiency_sample_size,global_efficiency_sample_pairs,global_global_clustering,global_avg_clustering,global_weighted_avg_clustering
2001,A59,"North America and Central America, nes",2,1,3,0.008438818565400843,0.004219409282700422,0.006329113924050633,12125516956.0,5948.0,12125522904.0,0.01696206260831918,8.320498726807641e-09,0.016962070928817904,0.0,0.0008441232158672498,0.0,0.13727263057121583,238,7743,56406,0.13727263057121583,714860995151.1996,92323517.39005548,0.13727263057121583,False,18,221,0.9285714285714286,True,1,238,1.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,238,0,0.4928982054535567,0.688039333904185,0.0001889235814265646
2001,BGD,Bangladesh,42,7,49,0.17721518987341772,0.029535864978902954,0.10337552742616034,371504451.0,16282207.0,387786658.0,0.0005196876784715656,2.2776745563738815e-05,0.0005424644240353044,0.012658227848101267,0.0032148995095495785,0.0,0.13727263057121583,238,7743,56406,0.13727263057121583,714860995151.1996,92323517.39005548,0.13727263057121583,False,18,221,0.9285714285714286,True,1,238,1.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,238,0,0.4928982054535567,0.688039333904185,0.0001889235814265646
2001,A79,"LAIA, nes",3,1,4,0.012658227848101266,0.004219409282700422,0.008438818565400843,1332389856.0,50583.0,1332440439.0,0.0018638446705547104,7.075921101178731e-08,0.0018639154297657222,0.0,0.0007227190361271279,0.0,0.13727263057121583,238,7743,56406,0.13727263057121583,714860995151.1996,92323517.39005548,0.13727263057121583,False,18,221,0.9285714285714286,True,1,238,1.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,238,0,0.4928982054535567,0.688039333904185,0.0001889235814265646
2001,ABW,Aruba,9,14,23,0.0379746835443038,0.05907172995780591,0.04852320675105485,74635470.0,1144892262.841,1219527732.841,0.00010440557046228815,0.0016015592830027675,0.0017059648534650557,0.0,0.0010073294534654405,0.0,0.13727263057121583,238,7743,56406,0.13727263057121583,714860995151.1996,92323517.39005548,0.13727263057121583,False,18,221,0.9285714285714286,True,1,238,1.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,238,0,0.4928982054535567,0.688039333904185,0.0001889235814265646
2001,BRA,Brazil,68,69,137,0.2869198312236287,0.2911392405063291,0.2890295358649789,8067882991.786,1950877615.808,10018760607.594,0.011285946563750579,0.002729030719315399,0.014014977283065977,0.03933347636415648,0.012415307571760141,0.0,0.13727263057121583,238,7743,56406,0.13727263057121583,714860995151.1996,92323517.39005548,0.13727263057121583,False,18,221,0.9285714285714286,True,1,238,1.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,238,0,0.4928982054535567,0.688039333904185,0.0001889235814265646
2001,COL,Colombia,44,54,98,0.18565400843881857,0.22784810126582278,0.20675105485232068,176047980.11,4962146952.167,5138194932.276999,0.0002462688289109469,0.006941415164380959,0.007187683993291905,0.0,0.001153181718670804,0.0,0.13727263057121583,238,7743,56406,0.13727263057121583,714860995151.1996,92323517.39005548,0.13727263057121583,False,18,221,0.9285714285714286,True,1,238,1.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,238,0,0.4928982054535567,0.688039333904185,0.0001889235814265646
2001,ESP,Spain,86,135,221,0.3628691983122363,0.569620253164557,0.46624472573839665,16875933131.156,3357931862.7720003,20233864993.928,0.02360729322990491,0.004697321417098393,0.028304614647003304,0.053189587356075235,0.014475439688807795,0.0,0.13727263057121583,238,7743,56406,0.13727263057121583,714860995151.1996,92323517.39005548,0.13727263057121583,False,18,221,0.9285714285714286,True,1,238,1.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,238,0,0.4928982054535567,0.688039333904185,0.0001889235814265646
2001,FRA,France,112,177,289,0.47257383966244726,0.7468354430379747,0.609704641350211,27148835640.028,4113281770.283,31262117410.311,0.03797778284753916,0.005753960277848148,0.04373174312538731,0.07625330758778517,0.01806397920212514,0.0,0.13727263057121583,238,7743,56406,0.13727263057121583,714860995151.1996,92323517.39005548,0.13727263057121583,False,18,221,0.9285714285714286,True,1,238,1.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,238,0,0.4928982054535567,0.688039333904185,0.0001889235814265646
2001,GBR,United Kingdom,105,175,280,0.4430379746835443,0.7383966244725738,0.5907172995780591,14245464513.86,21025403948.109,35270868461.969,0.019927600765022795,0.02941187740095113,0.04933947816597392,0.13920474862332835,0.01582804033920481,0.0,0.13727263057121583,238,7743,56406,0.13727263057121583,714860995151.1996,92323517.39005548,0.13727263057121583,False,18,221,0.9285714285714286,True,1,238,1.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,238,0,0.4928982054535567,0.688039333904185,0.0001889235814265646
2001,GTM,Guatemala,43,11,54,0.18143459915611815,0.046413502109704644,0.11392405063291139,753641959.0,108799710.0,862441669.0,0.00105424965708277,0.00015219701555683267,0.0012064466726396028,0.02098977329614532,0.010499626521303072,0.0,0.13727263057121583,238,7743,56406,0.13727263057121583,714860995151.1996,92323517.39005548,0.13727263057121583,False,18,221,0.9285714285714286,True,1,238,1.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,238,0,0.4928982054535567,0.688039333904185,0.0001889235814265646
